id,name,engname,latitude,longitude,add_name,add_names,,,general_description,literary_description,description_of_production,key_persons,facts,summary_description,links,dislocation,type,year_of_creation,year_of_closing,notes,year_of_resuming,year_of_second_closing,,year_of_repeated_resuming,year_of_third_closing,year_of_moving,,second_dislocation,latitude_2,longitude_2,year_of_repeated_moving,,third_dislocation,latitude_3,longitude_3,year_of_third_moving,,fourth_dislocation,latitude_4,longitude_4,date_of_merger_1,new_name,merger_1,date_of_merger_2,new_name_2,merger_2,date_of_merger_23,merger_3,date_of_separation,separation_1,separation_2,separation_3,separation_4,separation_5,separation_6,max_people,,date_if_max_people,people_1923,people_1924,people_1925,people_1926,people_1927,people_1928,people_1929,people_1930,people_1931,people_1932,people_1933,people_1934,people_1935,people_1936,people_1937,people_1938,,people_1939,people_1940,people_1941,,people_1942,,,people_1943,people_1944,people_1945,,people_1946,people_1947,,people_1948,,people_1949,people_1950,people_1951,people_1952,,people_1953,,people_1954,people_1955,people_1956,people_1957,people_1958,people_1959,people_1960,hydro_building,train_building,capital_building,building_plants,highways_building,airfield_building,mining_industry,logging,energy_facilities,agriculture,inning,fuel_industry,photos,video
12,Соловецкий ИТЛ ОГПУ ,,65.07733,35.70419,"Соловецкие лагеря особого назначения, Соловецкий лагерь принудительных работ особого назначения ОГПУ, СЛОН, СЛАГ, Соловецкие и Карело-Мурманские лагеря, СКМИТЛ",,,,"Крупнейший лагерь 1920-х годов, находившийся на территории Соловецких островов. На его базе в 1931 году был создан Беломоро-Балтийский ИТЛ.","Соловецкий ИТЛ ОГПУ функционировал с октября 1923 по декабрь 1933 гг. Максимальное число заключенных достигало 71800 человек, занятых лесозаголтовками, торфоразработками, дорожным строительством (строительство тракта Кемь-Ухта), рыбной промышленностью и обслуживанием существовавших на островах заводов.","Лагерь занимался лесозаготовками (на Соловецких островах и в Карелии — в районе Пан-озера),  обслуживанием лесозавода в Ковде, лесопильных заводов в Карелии, торфоразработками, ловлей озерной и морской рыбы, забоем морского зверя, сельским хозяйством, обслуживанием кирпичного, кожевенного, гончарного, смолокуренного, известкового, салотопенного заводов, погрузочно-разгрузочными работами на Мурманской железной дороге, дорожным строительством (в том числе железнодорожной ветки Белая—Апатиты, трактов Кемь—Ухта), производством ширпотреба. Также Соловецкий лагерь начал строительство Северного участка Беломорско-Балтийского водного пути, которое продолжит Беломоро-Балтийский лагерь","Д.С. Лихачев - филолог, культуролог, академик РАН,                                                И.Е. Аничков - лингвист, доктор филологических наук,                                          О.Э. Браз - художник, литограф,                           Н.П. Анциферов - историк, краевед,                  С.А. Мальсагов - офицер, белогвардеец, участник легендарного побега из СЛОН, офицер Войска Польского, участник польского и французского Сопротивления,                         С.А. Снегов - писатель-фантаст                   ","Управление Соловецкими лагерями находилось в Кремле на Соловецком острове. Официально Соловецкие лагеря назывались «Северные лагеря особого назначения» (СЛОН). В постановлении СНК СССР от 10 марта 1925 г. Соловецкие лагеря были названы «Соловецкими концентрационными лагерями ОГПУ».
До 1929 г. Соловецкие лаегря были единственными советскими концентрационными лагерями, хотя уже с отделениями на материке. В 1930 г. все концлагеря ОГПУ были перекрещены в «исправительно-трудовые», а Соловецкий лагерь – в СКИТЛ.
В первые годы различали три категории: а) политические; б) к-р (контрреволюционеры), которые вместе с политическими составляли около 80 %; в) уголовники-рецидивисты. До середины 1920-х гг. у политических заключенных был ряд привилегий (их не заставляли работать, они жили отдельно). Им разрешались неограниченные дневные прогулки, спорт, диспуты (только в своем кругу), выписка газет и пр. 19 декабря 1923 г. возник спор между охраной и катавшимися на коньках политзаключенными. По ним был открыт огонь, были убитые. Вскоре начались групповые расстрелы по спискам ОГПУ. Все заключенные были распределены по ротам и взводам. 
Так как Соловецкий лагерь были лагерем особого назначения, то на тех, кто там находился, никакие амнистии не распространялись                                                         В 1933 г., в момент расформирования лагеря, его заключенные, аппарат и имущество переданы Беломоро-Балтийскому лагерю",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-317.htm,"Архангельская область, Большой Соловецкий остров; Карельская АССР, город Кемь; станция Медвежья Гора Мурманской железной дороги",ИТЛ,1923,1931,,1932,1933,,,,1928,,"Карельская АССР, город Кемь",64.95095,34.59273,1931,,станция Медвежья Гора Мурманской железной дороги,62.90853,34.44933,1932,,город Кемь,64.95095,34.59273,,,,,,,,,,,,,,,,71800,,1931,3049,5044,7727,10682,14810,21900,65000,65000,71800,15130,19287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,строительство Северного участка Беломорско-Балтийского водного пути,строительство железнодорожной ветки Белая—Апатиты,,,строительство тракта Кемь-Ухта,,,"лесозаготовки, обслуживание лесозавода в Ковде",,подсобное сельское хозяйство,,торфоразработки,,Solovetsky CLC of OGPU
1,Вишерский ИТЛ ,Vishersky CLC,60.40672,57.07695,"Вишлаг, Вишерлаг",,"Вишерский лагерь существовал с июля 1929 г. по июль 1934 г., его управление дислоцировалось в поселке Малая Вижаиха (ныне - город Красновишерск). В лагере находилось до 39000 заключенных, строивших целлюлозно-бумажный комбинат, обслуживавших промышленные предприятия, занятых в гражданском строительстве","Вишерский лагерь был организован на базе Вишерского отделения Соловецкого лагеря ОГПУ и просуществовал с июля 1929 г. по июль 1934 г. Его управление дислоцировалось в поселке Малая Вижаиха (ныне - город Красновишерск). В лагере находилось до 39 000 заключенных, строивших целлюлозно-бумажный комбинат, обслуживавших промышленные предприятия и совхозы, занятых в гражданском строительстве. В 1929–1932 гг. в лагере находился В.Т. Шаламов.",Был организован на базе Вишерского отделения Соловецкого лагеря ОГПУ.,"Вишерский ИТЛ был организован на базе Вишерского отделения Соловецкого лагеря ОГПУ и просуществовал с июля 1929 г. по июль 1934 г. Управление дислоцировалось в поселке Малая Вижаиха Уральской обл. (ныне город Красновишерск Пермского края). Максимальная численность заключенных в апреле 1931 г. – 39 000 человек. Производственная деятельность: строительство целлюлозно-бумажного комбината, обслуживание промышленных предприятий и совхозов, гражданское строительство. В 1929–1932 гг. в лагере отбывал наказание В.Т. Шаламов.
","Лесозаготовки, строительство Красновишерского целлюлозно-бумажного комбината «Вишхимз» имени товарища Менжинского, дорожное строительство, обслуживание совхозов, подрядные работы на заводах: «Химстрой», «Северохим», Березниковском, Уралстройтреста, cуперфосфатном и других, гражданское строительство, производство ширпотреба","Шаламов В.Т. - писаталь, поэт, создатель одного из литературных циклов о жизни заключённых советских исправительно-трудовых лагерей в 1930—1956 годах,                                        епископ Александр (Малинин),                                                             иеромонах Серафим (Тьевар),                                                                                  епископ Иаков (Маскаев),                         архимандрит Таврион (Батозский)",В 1929-1932 гг. в лагере отбывал наказание В.Т. Шаламов,,http://www.memo.ru/history/nkvd/Gulag/r3/r3-56.htm,"Уральская область, поселок Малая Вижаиха (ныне город Красновишерск Пермской области)",ИТЛ,1928,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000,,1931,,,,,,,7363,7873,39000,22316,16997,11160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,строительство Красновишерского ЦБК «Вишхимз» имени товарища Менжинского,,,,лесозаготовки,,,,,,
2,Дальневосточный ИТЛ,"Dalnevostochny CLC
",48.50727,135.04051,Дальлаг,,"Дальневосточный лагерь существовал с октября 1929 г. по апрель 1939 г., его управление дислоцировалось в городе Хабаровске. Максимальное число заключенных в нем - 112490 человек, занятых на лесозаготовках, добыче полезных ископаемых, в промышленном, гражданском, гидротехническом, дорожном строительстве, в сельском хозяйстве, рыболовстве, на обслуживании промышленных предприятий","Дальневосточный лагерь был организован в 1929 г. во исполнение решения правительства об использовании труда заключенных при колонизации отдаленных районов СССР и эксплуатации их природных богатств. Дальлаг существовал с октября 1929 г. по апрель 1939 г., его управление дислоцировалось в городе Хабаровске. Максимальное число заключенных в нем – 112 490 человек, занятых на лесозаготовках, добыче полезных ископаемых, в промышленном, гражданском, гидротехническом, дорожном строительстве, в сельском хозяйстве, рыболовстве, на обслуживании промышленных предприятий. В 1937 году из Дальлага выделен Отдел шоссейно-дорожного строительства и организован отдельный исправительно-трудовой лагерь (Шосдорлаг).",Лагерь был организован в 1929 г. во исполнение решения правительства об использовании труда заключенных при колонизации отдаленных районов СССР и эксплуатации их природных богатств,"Дальневосточный ИТЛ был организован в октябре 1929 г. во исполнение решения правительства об использовании труда заключенных при колонизации отдаленных районов СССР и эксплуатации их природных богатств и просуществовал до апреля 1939 г., управление дислоцировалось в городе Хабаровске. Максимальная численность заключенных в январе 1937 г. – 112 490 человек. Производственная деятельность: лесозаготовки, добыча полезных ископаемых; промышленное, гражданское, гидротехническое и дорожное строительство; сельское хозяйство, рыболовство, обслуживание промышленных предприятий.","Лесозаготовки, добыча золота на острове Аскольд; добыча каменного угля на рудниках «Артем» и «Райчиха», дорожное строительство, в том числе строительство: железнодорожной линий Биробиджан—Блюхерово и Волочаевка—Комсомольск, железнодорожной ветки Диомиди—Богучаны—Пашенная, Букачачинской железнодорожной ветки, лов и переработка рыбы, сельскохозяйственные работы, производство товаров ширпотреба, строительство Седанского водопровода, водоудержательных сооружений на р. Седанке для водоснабжения Владивостока, дноуглубительные работы на реке Амур, строительство цементных заводов в районе Хабаровска, погрузочные работы на Уссурийской железной дороге, работа в мастерских Владивостока и Хабаровска, строительство кирпичного завода в Хабаровске, строительство спецточек Наркомсвязи","Мандельштам О.Э. - писатель, поэт, переводчик, эссеист, критик, литературовед",В 1937 году из Дальлага выделен Отдел шоссейно-дорожного строительства и организован отдельный исправительно-трудовой лагерь (Шосдорлаг),,,город Хабаровск,ИТЛ,1929,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,Бирский лагерь,Средне-Бельский лагер,Хабаровский лагерь,Строительство 201 и исправительно-трудовой лагерь,Владивостокский лагерь,,112490,,1937,,,,,,,,9200,18200,10600,,47767,59515,71763,112490,100875,,64249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,строительство водоудержательных сооружений на реке Седанке для водоснабжения Владивостока; работы по углублению реки Амур ,строительство железных дорог Биробиджан—Блюхерово; Волочаевка—Комсомольск; Диомиди—Богучаны—Пашенная и Букачачинской железнодорожной ветки ,,строительство цементных и кирпичных заводов в районе Хабаровска,,,добыча золота и угля,лесозаготовки,,,,,,
213,Северные лагеря ОГПУ особого назначения,North Special Purpose Camps of OGPU,61.668673,50.835716,"УСЕВЛОН, Севлаг, СЕВЛОН",,,,Труд узников лагеря был использован при разведке и разработке полезных ископаемых северных районов страны,"Северные лагеря особого назначения существовали с июня 1929 г. по июнь 1931 г., управление лагерей находилось в городе Сыктывкаре. Число заключенных в лагере достигало до 49800 человек, занятых на лесозаготовках, поисках и разведке полезных ископаемых, в дорожном строительстве. ","Эксплуатация природных богатств в районах Ухты и Печоры, изыскание нефти в Усть-Ухтижемском районе, лесоразработки на территории Архангельской области и Коми АССР, строительство железной дороги Пинюг—Усть-Сысольск (289 километров), тракта Усть-Сысольск—Ухта (330 километров), рыбный промысел, сельскохозяйственные работы.","Тихонович, Николай Николаевич - один из крупнейших специалистов в области геологии нефти и газа, исследователь девонских отложений русской платформы, один из руководителей геологических служб СССР в 20-е годы XX века, внес значительный вклад в освоение ухтинских нефтяных месторождений, профессор.            ","В июне 1931 года фактически проведена реорганизация ИТЛ. Приказано расформировать УСЕВЛОН (в составе Котласского, Пинюгского, Сыктывкарского, Усть-Вымского, Архангельского отделений, Ухтинской и Вайгачской экспедиций) с 20.06.31;
на его базе организовать Ухтинско-печорский, Усть-вымский, Темниковский ИТ лагеря ОГПУ, вайгачскую экспедицию ОГПУ и Архангельский перевалочный пункт ГУЛАГа;",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-305.htm,"Коми АССР, город Усть-Сысольск (ныне Сыктывкар)",ИТЛ,1929,1931,,,,,,,1930,,Северная область (ныне Архангельская область) город Котлас,61.25297,46.633217,,,"Северная область (ныне Архангельская область), Котласский район, Сольвычегодск",61.331867,46.920445,,,,,,,,,,,,,,,,,,,,,49716,,1930,,,,,,,24 700,49 716,41 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"строительство железной дороги Пинюг—Усть-Сысольск (289 километров),",,,,,,лесоразработки на территории Архангельской области и Коми АССР,,,,"Эксплуатация природных богатств в районах Ухты и Печоры, изыскание нефти в Усть-Ухтижемском районе",,
242,Сибирский ИТЛ,,55.030199,82.92043,"СИБУЛОН, Сиблаг",,,,"Узники лагеря были заняты в сельском хозяйстве, на лесозаготовках, в дорожном и промышленном строительстве, на обслуживании промышленных предприятий. ","Сибирский лагерь открыт в сентябре 1929 г. и действовал, по меньшей мере, до 1960 г., его управление дислоцировалось в городе Новосибирске с открытия до декабря 1933 г., с августа 1935 г. по февраль 1937 г. и с юля 1939 г. по сентябрь 1943 г., в остальные периоды в городе Мариинске. Максимальное число заключенных в лагере достигало до 78900 человек","Сельскохозяйственные работы (полеводство и животноводство), лесозаготовки, добыча угля, договорные работы с ""Союззолотом"", дорожное строительство, в том числе лесовозной железнодорожной ветки Итатка—Ксеньевка—река Чулым (42,5 километров), Нифантьевского шоссе (174 километров, в Туруханском крае), Горно-Шорской железной дороги и Чуйского тракта, обеспечение Строительства № 392 в городе Кемерово рабочей силой, строительство кирп. завода в Мариинске, обслуживание кирпичного завода, Яйской швейной фабрики, рыболовство, выпуск швейной, трикотажной, валяльной, овчинно-шубной, кожевенно-обувной продукции, металлообработка",,"Приказ об открытии лагеря не найден;
Сибирский ИТЛ организован во исполнение решения правительства об использовании труда заключенных при колонизации отдаленных районов СССР и эксплуатации их природных богатств (решение оформлено Постановления СНК от 11.07.29). Первое найденное упоминание Сибулона — осень 1929 г.",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-315.htm,Город Новосибирск,ИТЛ,1929,1960,,,,,,,1933,,Город Мариинск (Кемеровская область),56.20925,87.735094,1935,,город Новосибирск,55.030199,82.92043,1937,,город Мариинск,56.20925,87.735094,,,,,,,,,,,,,,,,78838,,1939,,,,,,,4592,24 284,30 100,28 073,48 136,58 609,65 447,51 473,78 838,46 382,,40 275,43 857, 77 919,,70 370,,,29 627,39 455,,,41 075,37 595,,39 437,,, 36 565 ,33 225,30 114,,17 410,,12 503,9268,10 908,10 150,,6929,,,"Строительство лесовозной железнодорожной ветки Итатка—Ксеньевка—река Чулым (42,5 километров), Горно-Шорской железной дороги",,,"Строительство Нифантьевского шоссе (174 километров, в Туруханском крае)",,,,,Сельскохозяйственные работы (полеводство и животноводство),,,,
355,Ухтинская экспедиция ОГПУ,,63.562626,53.684022,,,,,"Ухтинская экспедиция имела задачей изыскание нефти в Усть-Ухтинском районе; добыча нефти совершалась впоследствии Ухтинско-Печорским лагерем, в который была реорганизована экспедиция ","Ухтинская экспедиция существовала с 1929 г. по июнь 1931 г. Ее управление располагалось в поселке Чибью Коми АССР (ныне - город Ухта, Республика Коми). Максимальное количество заключенных - 824 человека, занятых изысканием нефти в Усть-Ухтинском районе",Изыскание нефти в Усть-Ухтинском районе,,В связи с успешной разведкой местонахождения нефти в Усть-Ухтинском районе Ухтинская экспедиция ОГПУ была реорганизована в 1931 г. Ухтинско-Печорский лагерь,,http://www.memo.ru/history/nkvd/Gulag/r3/r3-441.htm,"поселок Чибью Коми АССР (ныне - город Ухта, Республика Коми)",ИТЛ,1929,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,,1931,,,,,,,125,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,изыскание нефти в Усть-Ухтинском районе,,
74,Вайгачская экспедиция ОГПУ,,69.713316,60.054245,Вайгачский ОЛП,,,,Вайгачская экспедиция обнаружила большое содержание в рудах острова Вайгач свинца и цинка. Впоследствие минеральное сырьё использовалось в различных отраслях промышленности,"Вайгачский отдельный лагерный пункт существовал с июля 1930 г. по октябрь 1936 г., его управление находилось в бухте Варнека на острове Вайгач. Заключенные, число которых достигало 1498 человек, были заняты на добыче и разведке полиметаллических руд","Разведка и разработка полиметаллических руд на острое Вайгач и побережье Карского моря — до 31.07.1934 г. закончены работы по разведке и освоению свинцово-цинкового месторождения на мысе Раздельном, разведке и подготовке к промышленному освоению цинкового месторождения у озера Пайгото, начато разведывание жильных руд меди в губе Дыроватой (все — острой Вайгач), разведано и начато освоение месторождения плавикового шпата на реке Амдерма (западное побережье Карского моря), в 1934 г. Вайгачской экспедиции поручено строительство северного участка (220 километров) железнодорожной линии Воркута — Югорский Шар. Строительство железной дороги Воркута – Югорский Шар, а также и строительство порта в поселке Хабарово не было начато","П.В. Виттенбург, географ, геолог,                                                                                    В.Я. Дворжецкий - советский актёр театра и кино. Народный артист РСФСР (1991),                                                                                               К.Г. Архангельский - священник,                                                                                       К.П. Гурский - топограф","В 1921 году на Вайгаче побывала геологическая экспедиция под руководством геолога Н. А. Куликова, которая на юго-западной части этого острова обнаружила полиметаллические руды.
В 1925 году бухту Варнек острова Вайгач посетила Новоземельская экспедиция Академии наук СССР. Участники этой экспедиции взяли образцы руды с месторождения. Их исследование показало высокое содержание свинца и цинка, что дало основание начать промышленную добычу свинцово-цинковой руды на этом месторождении в бухте Варнек, названном Раздельным, и одновременно производить разведку рудных месторождений на острове Вайгач.
С этой целью в июле 1930 года в бухте Варнек была высажена Вайгачская экспедиция ОГПУ. Основной состав экспедиции составляли заключенные этого лагеря, осужденные по различным пунктам ст. 58 УК.                                           В 1931 году старшим геологом и заведующим геологической частью этой экспедиции был назначен известный геолог и географ профессор Павел Владимирович Виттенберг, осужденный по ст. 58. Под его руководством с 1931 по 1935 год на Вайгаче было обнаружено 58 рудных месторождений с проявлением свинцово-цинковых и медных руд. В 1940 году была издана его монография ""Рудные месторождения Вайгача и Амдермы"".                                                     10 августа 1934 года Вайгачская экспедиция перешла в ведение Главного Управления Северного Морского Пути (ГУСМП) и была переименована в Западно-Арктический Комбинат. На зимовку 1934-1935 года на острове было оставлено 1100 человек. Эти люди были оставлены на острове для демонтажа и переброски на Амдерминское месторождение всего оборудования с рудника Раздельного, который был переведен на мокрую консервацию. Строительство железной дороги Воркута – Югорский Шар, а также и строительство порта в поселке Хабарово не было начато. 
Оставшихся в живых заключенных этой экспедиции вывезли с Вайгача в Архангельск на строительство железной дороги Исакогорка -Молотовск (ныне Северодвинск), часть перевели на рудник в Амдерму, а остальных зимой пешим порядком отправили в Воркуту. Многие из них по дорогу в Воркуту погибли",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-49.htm,"остров Вайгач, бухта Варнека (вероятно, современный поселок Варнек, Заполярный район, Ненецкий автономный округ)",ИТЛ,1930,1936,,,,,,,,,,,,,,,,,,,,,,,,Ульминский исправительно-трудовой лагерь,,,,,,,,,,,,,1498,,1933,,,,,,,,,,1100,1498,1422,1211,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"разведка и разработка полиметаллических руд на острое Вайгач и побережье Карского моря — до 31.07.1934 г. закончены работы по разведке и освоению свинцово-цинкового месторождения на мысе Раздельном, разведке и подготовке к промышленному освоению цинкового месторождения у озера Пайгото, начато разведывание жильных руд меди в губе Дыроватой (все — острой Вайгач), разведано и начато освоение месторождения плавикового шпата на реке Амдерма (западное побережье Карского моря)",,,,,,,
99,Казакстанский ИТЛ,Kazakhstansky CLC,43.25383,76.91328,"Казулон, Казлаг",,,,"Казакстанский ИТЛ функционировал в 1930-1931 гг., его заключенные использовались на лесозаготовках и заводах Турксиба, а также в совхозах ","Казакстанский ИТЛ был организован в 1930 году. Лагерники работали на лесозаготовках и заводах, обеспечивавших строительство Туркестано-Сибирской железной дороги. Кроме того, их труд использовали в местных совхозах НКВД и при мощении улиц в Алма-Ате. Казлаг был закрыт в сентябре 1931 года, однако одно из его отделений - совхоз ""Гигант"" был преобразован в самостоятельный лагерь и впоследствии стал крупным Карагандинским ИТЛ, действовавшим вплоть до 1959 года","Лесозаготовки, работа на кирпичных заводах для Турксиба, мощение улиц Алма-Аты, работа в совхозах, организация совхоза «Гигант»",,"Приказ об открытии не найден;
организован во исполнение решения Правительства об использовании труда заключенных при колонизации отдаленных районов СССР и эксплуатации их природных богатств",,http://memo.ru/history/nkvd/gulag/r3/r3-182.htm,"Казакстан (Казахстан), город Алма-Ата",ИТЛ,1930,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500,,1931,,,,,,,,5000,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Мощение улиц Алма-Аты,организация совхоза «Гигант»",,,,,Лесозаготовки,,Работа в совхозах,,,,
253,Среднеазиатский ИТЛ,Sredneaziatsky CLC,41.311144,69.279665,"Сазлаг, Сазулон, Средне-Азиатские лагеря,
Упр. Среднеазиатского ИТЛ и колоний НКВД Узбекской ССР, УИТЛК НКВД Узбекской ССР",,,,Узники лагеря были заняты преимущественно на сельскохозяйственных работах,"Среднеазиатский лагерь функционировал с 1930 по 1943 год, его управление располагалось в городе Ташкент","Работа в совхозах (в основном — хлопководство), на хлопковых заводах, на собственных предприятиях, мелиоративные работы, производство ширпотреба, погрузочно-разгрузочные работы для водного транспорта на Аральском море (1930 г.)",,"Приказ об открытии Среднеазиатского лагеря не найден;
организован во исполнение решения правительства об использовании труда заключенных при колонизации отдаленных районов СССР и эксплуатации их природных богатств.",,http://www.memo.ru/history/nkvd/Gulag/r3/r3-320.htm,"Узбекская ССР, город Ташкент ",ИТЛ,1930,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36601,,1937,,,,,,,,2660,11 700,17 723,22 170,25 831,26 308,26 865,36 601,34 240,,31 087,12 034,29 446 ,,36 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Работа в совхозах (в основном — хлопководство),,,,
15,Ухтинско-Печорский ИТЛ,,63.55845,53.70671,"УПИТАЛаг, Ухтпечлаг",,,,"Лагерь был организован на базе Ухтинской экспедиции ОГПУ в целях разведки и добычи нефти, угля, асфальтита, радия в Ухтинско-Печорском бассейне. Это был первый практический шаг госу­дарства по решению стратегической задачи освоения северных тер­риторий и их природных богатств                                                     ","Ухтинско-Печорский лагерь располагался в Коми АССР, просуществовал 7 лет.  Максимальное количество узников достигало 54792 человека, основной вид деятельности - разведка и добыча нефти и угля в Ухтинско-Печорском районе","Разведка и добыча нефти и угля в Ухтинско-Печорском районе, обслуживание работ Ухто-Печорского треста ОГПУ–НКВД,  добыча угля в Воркуте и Инте, добыча нефти, радия, газа, асфальтитов (рудник у деревни Нямодь), строительство газового завода, строительство автодорог (среди них — тракта Чибью—Крутая), железная дорога.  Чибью—Усть-Вымь—Котлас, Воркута—Усть-Уса—Кожва и другое, баржестроение, лесозаготовки в Троицко-Печорском и Кожвинском лесопромышленных хозяйствах, Усть-Вымском лесном массиве, сельское хозяйство","Бонч-Осмоловский Г.А.-  русский и советский учёный, антрополог, археолог, этнограф, 
Названов М.М - советский актер, режиссёр,
Рохкин Г.Е. - марксист, философ, участник антисталинской оппозиции,
Смирнов К.А. – митрополит Ярославский и Коломенский 
","Усилиями заключенных геологов были открыты три нефтяных и одно газовое месторождение, разведаны миллиардные запасы угля, радиевых вод, асфальтитов и многих других видов полезных ископаемых.    В 1936 г. в лагере проводилась массовая голодовка политических заключенных.                                               Большой террор 1937-1938 гг. отразился на лагере кашкетинскими расстрелами. Всего за эти 2 года казнено различными способами (без умерших от голода и болезней) 2614 человек
",,http://www.memo.ru/history/NKVD/GULAG/,"Коми АССР, поселок Чибью (ныне город Ухта)",ИТЛ,1931,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,Воркутинский ИТЛ,Ухто-Ижемский ИТЛ,Северный железнодорожный ИТЛ,Устьвымский ИТЛ,,,54792,,1938,,,,,,,,,,9012,20886,22612,20965,23482,31035,54792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"строительство железной дороги Чибью—Усть-Вымь—Котлас, Воркута—Усть-Уса—Кожва и других",,,строительство автодорог (среди них — тракта Чибью—Крутая),,"добыча асфальтитов, радия","лесозаготовки в Троицко-Печорском и Кожвинском лесопромышленных хозяйствах, Усть-Вымском лесном массиве",строительство газового завода,,,"разведка и добыча нефти и угля в Ухтинско-Печорском районе, добыча угля в Воркуте и Инте, обслуживание работ Ухто-Печорского треста ОГПУ–НКВД",,Uhtinsko-Pechorsky CLC
